scrape_date,country,currency,name,brand,category,price_raw,bottle_size_raw,amazon_rating_raw,amazon_reviews_raw,amazon_title_raw,amazon_url,availability
2026-04-14,UAE,AED,Oud Ispahan,Dior,designer,"AED1,360.00",125ml,3.4 out of 5 stars,,"Christian Dior Perfume Oud Ispahan for Unisex Eau de Parfum, 125ml",https://www.amazon.ae/s?k=Dior+Oud+Ispahan+125ml,in_stock
2026-04-14,UAE,AED,Fahrenheit,Dior,designer,"AED1,002.00",3.4 oz,4.6 out of 5 stars,,Fahrenheit Men by Dior 3.4 oz Eau de Toilette Spray,https://www.amazon.ae/s?k=Dior+Fahrenheit+100ml,in_stock
2026-04-14,UAE,AED,Dior Homme Intense 2025,Dior,designer,AED469.00,100ml,4.4 out of 5 stars,,"Christian Dior Dior Homme Intense for Men - Eau de Parfum, 100ml",https://www.amazon.ae/s?k=Dior+Homme+Intense+100ml,in_stock
2026-04-14,UAE,AED,Miss Dior EDP 2021,Dior,designer,AED560.00,100 ml,4.6 out of 5 stars,,"Miss Dior by Christian Dior for Women - Eau de Parfum, 100 ml",https://www.amazon.ae/s?k=Dior+Miss+Dior+Eau+de+Parfum+100ml,in_stock
2026-04-14,UAE,AED,J'adore,Dior,designer,AED520.00,100 ml,4.6 out of 5 stars,,Christian Dior J'ADORE eau de perfume spray 100 ml,https://www.amazon.ae/s?k=Dior+Jadore+100ml,in_stock
2026-04-14,UAE,AED,Ambre Nuit,Dior,designer,"AED1,199.00",125 ml,3.5 out of 5 stars,,"Ambre Nuit by Christian Dior for Women - Eau de Parfum, 125 ml",https://www.amazon.ae/s?k=Dior+Ambre+Nuit+125ml,in_stock
2026-04-14,UAE,AED,Gris Dior,Dior,designer,AED454.29,,4.5 out of 5 stars,,Dior,https://www.amazon.ae/s?k=Dior+Gris+Dior+125ml,in_stock
2026-04-14,UAE,AED,Silver Mountain Water,Creed,designer,"AED1,700.00",100ml,4.5 out of 5 stars,,Silver Mountain Water by Creed for Men Eau de Parfum 100ml,https://www.amazon.ae/s?k=Creed+Silver+Mountain+Water+100ml,in_stock
2026-04-14,UAE,AED,Green Irish Tweed,Creed,designer,"AED2,244.00",100ml,3.3 out of 5 stars,,"Green Irish Tweed by Creed for Men - Eau de Parfum, 100ml",https://www.amazon.ae/s?k=Creed+Green+Irish+Tweed+100ml,in_stock
2026-04-14,UAE,AED,Millesime Imperial,Creed,designer,"AED1,214.00",50ml,4.3 out of 5 stars,,Millesime Imperial by Creed Eau De Parfum For Men 50ml,https://www.amazon.ae/s?k=Creed+Millesime+Imperial+100ml,in_stock
2026-04-14,UAE,AED,Wind Flowers,Creed,designer,AED30.75,,,,CREED WIND FLOWERS,https://www.amazon.ae/s?k=Creed+Wind+Flowers+75ml,in_stock
2026-04-14,UAE,AED,Le Male,Jean Paul Gaultier,designer,AED419.00,4.2 oz,4.7 out of 5 stars,,"Le Male Elixir Absolu Intense by Jean Paul Gaultier for Men Perfume Spray, 4.2 oz",https://www.amazon.ae/s?k=Jean+Paul+Gaultier+Le+Male+125ml,in_stock
2026-04-14,UAE,AED,Ultra Male,Jean Paul Gaultier,designer,AED614.00,125Ml,4.3 out of 5 stars,,"Le Beau Male Intensely Fresh By Jean Paul Gaultier For Men - Eau De Toilette, 125Ml",https://www.amazon.ae/s?k=Jean+Paul+Gaultier+Ultra+Male+125ml,in_stock
2026-04-14,UAE,AED,Le Male Le Parfum,Jean Paul Gaultier,designer,AED614.00,125Ml,4.3 out of 5 stars,,"Le Beau Male Intensely Fresh By Jean Paul Gaultier For Men - Eau De Toilette, 125Ml",https://www.amazon.ae/s?k=Jean+Paul+Gaultier+Le+Male+Le+Parfum+125ml,in_stock
2026-04-14,UAE,AED,Le Male Elixir,Jean Paul Gaultier,designer,AED419.00,4.2 oz,4.7 out of 5 stars,,"Le Male Elixir Absolu Intense by Jean Paul Gaultier for Men Perfume Spray, 4.2 oz",https://www.amazon.ae/s?k=Jean+Paul+Gaultier+Le+Male+Elixir+125ml,in_stock
2026-04-14,UAE,AED,Black Afgano,Nasomatto,designer,AED459.75,30ml,4.4 out of 5 stars,,Black Afgano by Nasomatto 30ml Extrait de Parfum,https://www.amazon.ae/s?k=Nasomatto+Black+Afgano+30ml,in_stock
2026-04-14,UAE,AED,Baraonda,Nasomatto,designer,AED821.45,30ml,4.7 out of 5 stars,,"Baraonda by Nasomatto Unisex Perfume - Eau de Parfum, 30ml",https://www.amazon.ae/s?k=Nasomatto+Baraonda+30ml,in_stock
2026-04-14,UAE,AED,Bleu de Chanel,Chanel,designer,AED939.00,100ml,2.6 out of 5 stars,,"Bleu de chanel for men - eau de toilette, 100ml",https://www.amazon.ae/s?k=Chanel+Bleu+de+Chanel+100ml,in_stock
