scrape_date,name,brand,category,fragrantica_url,year_raw,gender_raw,fragrance_family,rating_raw,votes_raw,top_notes_raw,middle_notes_raw,base_notes_raw,main_accords_raw,perfumers,votes_love_raw,votes_like_raw,votes_ok_raw,votes_dislike_raw,votes_hate_raw,season_spring_raw,season_summer_raw,season_fall_raw,season_winter_raw,wear_day_raw,wear_night_raw
2026-04-14,Hawas Black,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Hawas-Black-96817.html,2024,male,Aromatic Fruity,4.26,"2,645","Bergamot, Grapefruit, Pineapple","Patchouli, Cedarwood, Jasmine","Oakmoss, Woody Notes, Amber","woody, citrus, mossy, earthy, fresh spicy, fruity, patchouli, sweet, aromatic","Perfumers, Perfumers",1500,629,253,144,100,1600.0,1500.0,1600.0,1400.0,1600.0,1500.0
2026-04-14,Hawas Elixir,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Hawas-Elixir-110808.html,2024,unisex,Oriental Vanilla,4.54,987,"Mint, Bergamot, Artemisia","Dark Chocolate, Lavender, Benzoin","Vanilla, Tonka Bean, White Musk","vanilla, aromatic, green, sweet, fresh spicy, warm spicy, amber, chocolate, lavender, powdery","Perfumers, Perfumers",660,238,57,21,11,312.0,86.0,619.0,747.0,279.0,664.0
2026-04-14,Hawas Viper,Rasasi,arabic,https://www.fragrantica.com/perfume/Rasasi/Hawas-Viper-113594.html,2025,male,Oriental,3.71,139,"Saffron, cannabis, Thyme, Green Notes, Davana","Tobacco, Coffee, Cinnamon, Violet, Raspberry","Gurjan balsam, Musk, Tonka","warm spicy, aromatic, tobacco, sweet, green, cannabis, coffee, fruity, herbal, musky","Perfumers, Perfumers",74,18,7,12,28,32.0,13.0,58.0,83.0,29.0,66.0
2026-04-14,Liquid Brun Limited Edition,French Avenue,arabic,https://www.fragrantica.com/perfume/French-Avenue/Liquid-Brun-Limited-Edition-123526.html,2025,unisex,Oriental Fougere,4.50,420,"Cardamom, Lavender, Citrus","Orange Blossom, Guaiac Wood, Rose","Vanilla, Tonka, Amber, oak moss","vanilla, citrus, amber, white floral, sweet, aromatic, warm spicy, lavender, powdery, woody","Perfumers, Perfumers",306,61,23,15,15,144.0,26.0,236.0,297.0,154.0,257.0
2026-04-14,Grow,French Avenue,arabic,https://www.fragrantica.com/perfume/French-Avenue/Grow-123528.html,2025,unisex,Oriental Woody,4.10,52,"Dates, Saffron, Davana, Timur, Pear","Dates, Custard, Rose, Sandalwood, Geranium, Jasmine, Peony, Lily of the Valley","Vanilla, Dry Wood, Cypriol, Labdanum, Tonka, Musk, Immortelle, Atlas Cedar","sweet, woody, vanilla, warm spicy, fruity, aromatic, fresh spicy, rose, powdery, green","Perfumers, Perfumers, Jean-Christophe Hérault",29,11,4,4,4,15.0,5.0,25.0,31.0,11.0,25.0
2026-04-14,Opus Magnum,French Avenue,arabic,https://www.fragrantica.com/perfume/French-Avenue/Opus-Magnum-103480.html,2025,unisex,Oriental Woody,4.01,148,"Incense, Basil, Cardamon, Bergamot","Tobacco, Fenugreek, Lavender","Peru Balsam, Amber, Oud, Tonka Bean","amber, fresh spicy, balsamic, tobacco, warm spicy, aromatic, smoky, sweet, oud","Perfumers, Perfumers",86,25,8,10,19,33.0,19.0,77.0,91.0,31.0,73.0
2026-04-14,Royal Blend Bourbon,French Avenue,arabic,https://www.fragrantica.com/perfume/French-Avenue/Royal-Blend-Bourbon-103478.html,2025,unisex,Aromatic,3.69,214,"Cinnamon, Peppermint, Bark, Basil","Bourbon Whiskey, Lavender","Oak, Peru Balsam","woody, warm spicy, aromatic, cinnamon, green, fresh spicy, balsamic, amber","Perfumers, Perfumers",76,64,25,29,20,39.0,10.0,104.0,114.0,42.0,98.0
2026-04-14,Azzure Oud,French Avenue,arabic,https://www.fragrantica.com/perfume/French-Avenue/Azzure-Oud-94714.html,2024,male,Oriental,3.83,"1,412","Passionfruit, Fruity Notes, Rose, Saffron","Oud, Benzoin, Patchouli","Leather, Amber, Guaiac Wood, Cedarwood, Sandalwood, Vanilla, Labdanum","fruity, oud, leather, sweet, woody, tropical, amber, warm spicy, animalic, fresh","Perfumers, Perfumers",643,337,134,144,154,433.0,166.0,761.0,947.0,415.0,817.0
2026-04-14,Vulcan Feu,French Avenue,arabic,https://www.fragrantica.com/perfume/French-Avenue/Vulcan-Feu-105520.html,2025,unisex,Floral,4.45,"4,272","Mango, Lemon, Ginger, Rhubarb","Pink Pepper, Jasmine, Violet, Praline","Tonka Bean, Cedarwood, Ambergris, Moss","tropical, fruity, sweet, citrus, woody, fresh, fresh spicy, aromatic, amber, terpenic","Perfumers, Perfumers",2800,891,304,162,87,2600.0,3200.0,853.0,361.0,2800.0,1000.0
2026-04-14,Veneno,French Avenue,arabic,https://www.fragrantica.com/perfume/French-Avenue/Veneno-105519.html,2025,unisex,Aromatic Fruity,4.19,460,"Apple, Smoke, Cinnamon","Tobacco, Moss","Bourbon Vanilla, Orcanox™","smoky, fruity, cinnamon, tobacco, warm spicy, vanilla, sweet, fresh, green, mossy","Perfumers, Perfumers, Jean-Louis Sieuzac",242,130,39,32,17,95.0,33.0,262.0,291.0,85.0,259.0
